timestamp,event_type,key_code
1000.1649792353609,PRESS,h
1000.261812153573,RELEASE,h
1000.393085007327,PRESS,g
1000.4920481003188,RELEASE,g
1000.6322469818997,PRESS,g
1000.7346814107568,RELEASE,g
1000.8808577125876,PRESS,s
1000.9856988618646,RELEASE,s
1001.1638386290024,PRESS,j
1001.269134391873,RELEASE,j
1001.3982704990111,PRESS,a
1001.4852199925559,RELEASE,a
1001.6113373698569,PRESS,g
1001.7161180561233,RELEASE,g
1001.8437667688924,PRESS,j
1001.9476619437522,RELEASE,j
1002.0805225667774,PRESS,d
1002.1731530498844,RELEASE,d
1002.3186634707318,PRESS,d
1002.4013505897971,RELEASE,d
1002.5438053473517,PRESS,s
1002.6416056684175,RELEASE,s
1002.8376966375941,PRESS,f
1002.9483006100163,RELEASE,f
1003.1027220321818,PRESS,k
1003.2126265292156,RELEASE,k
1003.3901457521723,PRESS,l
1003.4955016796048,RELEASE,l
1003.6726527506086,PRESS,s
1003.7962312937565,RELEASE,s
1003.946296325479,PRESS,j
1004.0660506584438,RELEASE,j
1004.1761464003918,PRESS,a
1004.2796513985234,RELEASE,a
1004.4163188329444,PRESS,a
1004.4999721456493,RELEASE,a
1004.6397814701454,PRESS,h
1004.7400337769494,RELEASE,h
1004.8948914494348,PRESS,f
1004.9939468620531,RELEASE,f
1005.1404202871266,PRESS,k
1005.2674490321424,RELEASE,k
1005.4205261908553,PRESS,s
1005.5238245573769,RELEASE,s
1005.6675538111708,PRESS,j
1005.7879846824018,RELEASE,j
1005.9541562469078,PRESS,j
1006.0675799519087,RELEASE,j
1006.226579762609,PRESS,k
1006.3259999713815,RELEASE,k
1006.4900121140751,PRESS,f
1006.5775590151749,RELEASE,f
1006.7276367698182,PRESS,k
1006.7985072987906,RELEASE,k
1006.9523779866711,PRESS,k
1007.0670968760329,RELEASE,k
1007.191654577169,PRESS,g
1007.2914436976073,RELEASE,g
1007.4420804934306,PRESS,a
1007.5545160590362,RELEASE,a
1007.7242587343181,PRESS,g
1007.8310698166239,RELEASE,g
1007.9697553403469,PRESS,f
1008.0613013111584,RELEASE,f
1008.2216521572517,PRESS,h
1008.323137941271,RELEASE,h
1008.4828033798365,PRESS,f
1008.5857707353507,RELEASE,f
1008.7063897773834,PRESS,g
1008.811735344759,RELEASE,g
1008.9645190718628,PRESS,s
1009.0576396205588,RELEASE,s
1009.2147786273471,PRESS,s
1009.3133811114368,RELEASE,s
1009.4514469051084,PRESS,j
1009.5558379582423,RELEASE,j
1009.7170648888866,PRESS,a
1009.8183835687435,RELEASE,a
1009.9697322364815,PRESS,s
1010.068396890968,RELEASE,s
1010.1975045246404,PRESS,j
1010.2955687326736,RELEASE,j
1010.447875436267,PRESS,s
1010.5413003465812,RELEASE,s
1010.6718538004213,PRESS,k
1010.7594570023117,RELEASE,k
