timestamp,event_type,key_code
1764595114.2292378,PRESS,s
1764595114.3654964,RELEASE,s
1764595114.5054774,PRESS,s
1764595114.6190586,RELEASE,s
1764595115.1536531,PRESS,s
1764595115.2602663,RELEASE,s
1764595115.7013826,PRESS,s
1764595115.867204,RELEASE,s
1764595116.4894936,PRESS,a
1764595116.6287143,RELEASE,a
1764595117.114005,PRESS,a
1764595117.2659883,RELEASE,a
1764595117.414982,PRESS,a
1764595117.557232,RELEASE,a
1764595118.4567797,PRESS,x
1764595118.548513,RELEASE,x
1764595118.6431994,PRESS,x
1764595118.7430139,RELEASE,x
1764595118.8405414,PRESS,x
1764595118.9702709,RELEASE,x
1764595119.2769086,PRESS,c
1764595119.404352,RELEASE,c
1764595119.5091581,PRESS,c
1764595119.610391,RELEASE,c
1764595121.1382737,PRESS,Key.esc
1764595121.285414,RELEASE,Key.esc
1764595865.7559633,RELEASE,Key.enter
1764595867.1660275,PRESS,Key.shift
1764595867.3347368,PRESS,H
1764595867.4526067,RELEASE,H
1764595867.7422285,RELEASE,Key.shift
1764595868.974106,PRESS,e
1764595869.120942,RELEASE,e
1764595869.5270162,PRESS,l
1764595869.588534,RELEASE,l
1764595869.7041883,PRESS,l
1764595869.7596536,RELEASE,l
1764595870.0458035,PRESS,o
1764595870.1765528,RELEASE,o
1764595871.4040809,PRESS,Key.space
1764595871.5261638,RELEASE,Key.space
1764595872.3557308,PRESS,w
1764595872.5099578,RELEASE,w
1764595872.6756265,PRESS,o
1764595872.8180559,RELEASE,o
1764595873.0228648,PRESS,r
1764595873.1903794,RELEASE,r
1764595873.9637756,PRESS,l
1764595874.1158051,RELEASE,l
1764595874.2494185,PRESS,d
1764595874.3807886,RELEASE,d
1764595874.7925777,PRESS,Key.enter
1764595874.8798478,RELEASE,Key.enter
1764595876.8690917,PRESS,Key.shift
1764595877.1266985,PRESS,I
1764595877.2425644,RELEASE,I
1764595877.2628002,RELEASE,Key.shift
1764595879.3188837,PRESS,Key.shift
1764595879.5605812,PRESS,'
1764595879.666362,RELEASE,'
1764595879.7262979,RELEASE,Key.shift
1764595881.6779659,PRESS,a
1764595881.8163395,PRESS,m
1764595881.8408575,RELEASE,a
1764595881.9245183,RELEASE,m
1764595882.7390351,PRESS,Key.space
1764595882.8498943,RELEASE,Key.space
1764595883.075776,PRESS,n
1764595883.1517136,PRESS,o
1764595883.222091,RELEASE,n
1764595883.2795177,RELEASE,o
1764595883.317606,PRESS,t
1764595883.4638095,RELEASE,t
1764595883.5895429,PRESS,Key.space
1764595883.6899157,RELEASE,Key.space
1764595883.8407183,PRESS,a
1764595883.9766788,RELEASE,a
1764595884.3447893,PRESS,Key.space
1764595884.4825125,RELEASE,Key.space
1764595884.7118795,PRESS,h
1764595884.802094,PRESS,u
1764595884.8486145,RELEASE,h
1764595884.947274,RELEASE,u
1764595885.157758,PRESS,m
1764595885.248623,PRESS,a
1764595885.2892451,RELEASE,m
1764595885.389572,RELEASE,a
1764595885.4498796,PRESS,n
1764595885.540406,RELEASE,n
1764595887.2813387,PRESS,Key.enter
1764595887.3912778,RELEASE,Key.enter
1764595889.4129236,PRESS,Key.esc
1764595889.5452435,RELEASE,Key.esc
1764596844.018141,RELEASE,Key.enter
1764596845.8229322,PRESS,d
1764596846.0418856,RELEASE,d
1764596855.9137707,PRESS,Key.ctrl_l
1764596856.2054064,PRESS,
1764596856.4530616,RELEASE,
1764596856.5379243,RELEASE,Key.ctrl_l
1764596859.1665883,PRESS,Key.enter
1764596859.2108262,RELEASE,Key.enter
1764596863.1697628,PRESS,m
1764596863.3299973,PRESS,i
1764596863.3807752,RELEASE,m
1764596863.556565,RELEASE,i
1764596863.899955,PRESS,n
1764596864.0765066,RELEASE,n
1764596864.14513,PRESS,a
1764596864.3735852,RELEASE,a
1764596864.6086452,PRESS,s
1764596864.6841278,PRESS,a
1764596864.7960687,RELEASE,s
1764596864.837794,RELEASE,a
1764596865.017975,PRESS,n
1764596865.1001678,RELEASE,n
1764596865.2035444,PRESS,n
1764596865.3152728,RELEASE,n
1764596865.6855307,PRESS,k
1764596865.8168237,PRESS,o
1764596865.8841174,RELEASE,k
1764596866.020161,RELEASE,o
1764596866.1604416,PRESS,n
1764596866.2619338,RELEASE,n
1764596866.3447294,PRESS,n
1764596866.4276788,RELEASE,n
1764596866.6632442,PRESS,n
1764596866.7581134,PRESS,i
1764596866.7947962,RELEASE,n
1764596866.868689,RELEASE,i
1764596866.973849,PRESS,t
1764596867.0895748,PRESS,i
1764596867.129855,RELEASE,t
1764596867.2363791,RELEASE,i
1764596867.285664,PRESS,h
1764596867.416302,RELEASE,h
1764596867.4568233,PRESS,a
1764596867.6238506,RELEASE,a
1764596867.7690682,PRESS,
1764596867.8727908,RELEASE,
1764596868.2234418,PRESS,[
1764596868.3962438,RELEASE,[
1764596869.218466,PRESS,Key.backspace
1764596869.3515167,RELEASE,Key.backspace
1764596869.9906297,PRESS,.
1764596870.105383,RELEASE,.
1764596870.9192924,PRESS,Key.enter
1764596871.0475721,RELEASE,Key.enter
1764596871.8053622,PRESS,w
1764596871.975094,RELEASE,w
1764596872.3753374,PRESS,a
1764596872.5480332,RELEASE,a
1764596873.4911532,PRESS,Key.backspace
1764596873.5689666,RELEASE,Key.backspace
1764596873.674372,PRESS,Key.backspace
1764596873.738929,RELEASE,Key.backspace
1764596873.8187451,PRESS,Key.backspace
1764596874.3229294,PRESS,Key.backspace
1764596874.3524985,PRESS,Key.backspace
1764596874.3827398,PRESS,Key.backspace
1764596874.4130526,PRESS,Key.backspace
1764596874.4436188,PRESS,Key.backspace
1764596874.47333,PRESS,Key.backspace
1764596874.5034688,PRESS,Key.backspace
1764596874.532918,PRESS,Key.backspace
1764596874.5633006,PRESS,Key.backspace
1764596874.6018643,PRESS,Key.backspace
1764596874.6338627,PRESS,Key.backspace
1764596874.664264,PRESS,Key.backspace
1764596874.6662626,RELEASE,
1764596874.6677687,PRESS,
1764596874.676416,RELEASE,Key.backspace
1764596875.0669527,PRESS,Key.shift
1764596875.3698392,PRESS,H
1764596875.5308852,RELEASE,H
1764596876.2711368,RELEASE,Key.shift
1764596876.6388168,PRESS,e
1764596876.763896,RELEASE,e
1764596877.0179417,PRESS,l
1764596877.0864284,RELEASE,l
1764596877.2071593,PRESS,l
1764596877.3185368,RELEASE,l
1764596877.5646238,PRESS,o
1764596877.695999,RELEASE,o
1764596878.207553,PRESS,Key.space
1764596878.3866675,RELEASE,Key.space
1764596879.1101704,PRESS,e
1764596879.2879267,RELEASE,e
1764596879.5364153,PRESS,v
1764596879.5458634,PRESS,e
1764596879.6539695,RELEASE,v
1764596879.7278802,RELEASE,e
1764596880.0696836,PRESS,r
1764596880.2210047,PRESS,y
1764596880.2366302,RELEASE,r
1764596880.373519,RELEASE,y
1764596880.915486,PRESS,o
1764596881.0471349,RELEASE,o
1764596881.1387231,PRESS,n
1764596881.2250948,RELEASE,n
1764596899.541301,PRESS,Key.ctrl_l
1764596899.8186002,PRESS,
1764596899.9644022,RELEASE,
